datetime,velocidad,direccion,tsm,estacion
2025-01-01 00:10:00,5.0,358.0,,IMP Callao
2025-01-01 00:20:00,5.2,4.0,,IMP Callao
2025-01-01 00:30:00,4.8,355.0,,IMP Callao
2025-01-01 00:40:00,4.5,5.0,,IMP Callao
2025-01-01 00:50:00,5.0,14.0,,IMP Callao
2025-01-01 01:00:00,5.2,346.0,,IMP Callao
2025-01-01 01:10:00,6.0,7.0,,IMP Callao
2025-01-01 01:20:00,5.0,2.0,,IMP Callao
2025-01-01 01:30:00,5.2,353.0,,IMP Callao
2025-01-01 01:40:00,5.4,9.0,,IMP Callao
2025-01-01 01:50:00,4.6,353.0,,IMP Callao
2025-01-01 02:00:00,4.3,335.0,,IMP Callao
2025-01-01 02:10:00,5.2,354.0,,IMP Callao
2025-01-01 02:20:00,4.8,325.0,,IMP Callao
2025-01-01 02:30:00,4.4,349.0,,IMP Callao
2025-01-01 02:40:00,4.2,2.0,,IMP Callao
2025-01-01 02:50:00,4.9,349.0,,IMP Callao
2025-01-01 03:00:00,4.8,351.0,,IMP Callao
2025-01-01 03:10:00,4.9,335.0,,IMP Callao
2025-01-01 03:20:00,4.4,8.0,,IMP Callao
2025-01-01 03:30:00,5.6,357.0,,IMP Callao
2025-01-01 03:40:00,4.3,319.0,,IMP Callao
2025-01-01 03:50:00,4.4,342.0,,IMP Callao
2025-01-01 04:00:00,3.7,4.0,,IMP Callao
2025-01-01 04:10:00,4.5,15.0,,IMP Callao
2025-01-01 04:20:00,4.7,16.0,,IMP Callao
2025-01-01 04:30:00,4.5,330.0,,IMP Callao
2025-01-01 04:40:00,4.2,334.0,,IMP Callao
2025-01-01 04:50:00,4.9,353.0,,IMP Callao
2025-01-01 05:00:00,5.5,350.0,,IMP Callao
2025-01-01 05:10:00,5.3,331.0,,IMP Callao
2025-01-01 05:20:00,5.9,2.0,,IMP Callao
2025-01-01 05:30:00,5.2,338.0,,IMP Callao
2025-01-01 05:40:00,5.3,13.0,,IMP Callao
2025-01-01 05:50:00,6.0,8.0,,IMP Callao
2025-01-01 06:00:00,5.0,3.0,,IMP Callao
2025-01-01 06:10:00,6.6,2.0,,IMP Callao
2025-01-01 06:20:00,5.8,5.0,,IMP Callao
2025-01-01 06:30:00,5.8,2.0,,IMP Callao
2025-01-01 06:40:00,4.6,2.0,,IMP Callao
