datetime,velocidad,direccion,tsm,estacion
2020-02-07 10:00:00,3.8,145.0,,IMP SantaRosa
2020-02-07 10:10:00,4.3,150.0,,IMP SantaRosa
2020-02-07 10:20:00,5.0,155.0,,IMP SantaRosa
2020-02-07 10:30:00,4.9,158.0,,IMP SantaRosa
2020-02-07 10:40:00,4.5,159.0,,IMP SantaRosa
2020-02-07 10:50:00,4.5,161.0,,IMP SantaRosa
2020-02-07 11:00:00,4.5,158.0,,IMP SantaRosa
2020-02-07 11:10:00,4.6,152.0,,IMP SantaRosa
2020-02-07 11:20:00,4.6,154.0,,IMP SantaRosa
2020-02-07 11:30:00,4.6,155.0,,IMP SantaRosa
2020-02-07 11:40:00,5.0,159.0,,IMP SantaRosa
2020-02-07 11:50:00,4.4,154.0,,IMP SantaRosa
2020-02-07 12:00:00,4.5,155.0,20.5,IMP SantaRosa
2020-02-07 12:10:00,4.6,151.0,,IMP SantaRosa
2020-02-07 12:20:00,3.9,158.0,,IMP SantaRosa
2020-02-07 12:30:00,3.3,163.0,,IMP SantaRosa
2020-02-07 12:40:00,3.3,165.0,,IMP SantaRosa
2020-02-07 12:50:00,3.6,163.0,,IMP SantaRosa
2020-02-07 13:00:00,3.7,162.0,,IMP SantaRosa
2020-02-07 13:10:00,4.0,172.0,,IMP SantaRosa
2020-02-07 13:20:00,4.7,167.0,,IMP SantaRosa
2020-02-07 13:30:00,5.0,173.0,,IMP SantaRosa
2020-02-07 13:40:00,4.2,167.0,,IMP SantaRosa
2020-02-07 13:50:00,4.1,162.0,,IMP SantaRosa
2020-02-07 14:00:00,4.4,171.0,,IMP SantaRosa
2020-02-07 14:10:00,3.7,173.0,,IMP SantaRosa
2020-02-07 14:20:00,3.5,174.0,,IMP SantaRosa
2020-02-07 14:30:00,4.0,172.0,,IMP SantaRosa
2020-02-07 14:40:00,3.7,174.0,,IMP SantaRosa
2020-02-07 14:50:00,3.9,182.0,,IMP SantaRosa
2020-02-07 15:00:00,3.9,183.0,,IMP SantaRosa
2020-02-07 15:10:00,3.4,177.0,,IMP SantaRosa
2020-02-07 15:20:00,4.1,174.0,,IMP SantaRosa
2020-02-07 15:30:00,4.5,174.0,,IMP SantaRosa
2020-02-07 15:40:00,4.5,172.0,,IMP SantaRosa
2020-02-07 15:50:00,4.9,170.0,,IMP SantaRosa
2020-02-07 16:00:00,4.3,175.0,,IMP SantaRosa
2020-02-07 16:10:00,4.3,161.0,,IMP SantaRosa
2020-02-07 16:20:00,4.3,154.0,,IMP SantaRosa
2020-02-07 16:30:00,4.6,149.0,,IMP SantaRosa
2020-02-07 16:40:00,4.4,150.0,,IMP SantaRosa
2020-02-07 16:50:00,4.3,148.0,,IMP SantaRosa
2020-02-07 17:00:00,4.1,147.0,,IMP SantaRosa
2020-02-07 17:10:00,3.8,140.0,,IMP SantaRosa
2020-02-07 17:20:00,3.7,143.0,,IMP SantaRosa
2020-02-07 17:30:00,3.6,142.0,,IMP SantaRosa
2020-02-07 17:40:00,4.2,138.0,,IMP SantaRosa
2020-02-07 17:50:00,3.8,135.0,,IMP SantaRosa
2020-02-07 18:00:00,3.4,141.0,,IMP SantaRosa
2020-02-07 18:10:00,3.3,141.0,,IMP SantaRosa
2020-02-07 18:20:00,3.0,139.0,,IMP SantaRosa
2020-02-07 18:30:00,3.2,137.0,,IMP SantaRosa
2020-02-07 18:40:00,3.3,138.0,,IMP SantaRosa
2020-02-07 18:50:00,3.0,129.0,,IMP SantaRosa
2020-02-07 19:00:00,3.1,134.0,,IMP SantaRosa
2020-02-07 19:10:00,3.2,129.0,,IMP SantaRosa
2020-02-07 19:20:00,2.6,131.0,,IMP SantaRosa
2020-02-07 19:30:00,2.5,126.0,,IMP SantaRosa
2020-02-07 19:40:00,3.2,130.0,,IMP SantaRosa
2020-02-07 19:50:00,3.1,129.0,,IMP SantaRosa
2020-02-07 20:00:00,3.2,137.0,,IMP SantaRosa
2020-02-07 20:10:00,2.9,142.0,,IMP SantaRosa
2020-02-07 20:20:00,3.1,144.0,,IMP SantaRosa
2020-02-07 20:30:00,4.3,149.0,,IMP SantaRosa
2020-02-07 20:40:00,4.5,149.0,,IMP SantaRosa
2020-02-07 20:50:00,5.1,154.0,,IMP SantaRosa
2020-02-07 21:00:00,4.9,152.0,,IMP SantaRosa
2020-02-07 21:10:00,3.8,150.0,,IMP SantaRosa
2020-02-07 21:20:00,3.7,152.0,,IMP SantaRosa
2020-02-07 21:30:00,3.5,149.0,,IMP SantaRosa
2020-02-07 21:40:00,3.6,150.0,,IMP SantaRosa
2020-02-07 21:50:00,3.6,150.0,,IMP SantaRosa
2020-02-07 22:00:00,3.7,149.0,,IMP SantaRosa
2020-02-07 22:10:00,4.1,150.0,,IMP SantaRosa
2020-02-07 22:20:00,4.4,151.0,,IMP SantaRosa
2020-02-07 22:30:00,4.8,149.0,,IMP SantaRosa
2020-02-07 22:40:00,4.2,146.0,,IMP SantaRosa
2020-02-07 22:50:00,3.2,144.0,,IMP SantaRosa
2020-02-07 23:00:00,2.9,144.0,,IMP SantaRosa
2020-02-07 23:10:00,3.0,140.0,,IMP SantaRosa
2020-02-07 23:20:00,2.8,139.0,,IMP SantaRosa
2020-02-07 23:30:00,3.1,138.0,,IMP SantaRosa
2020-02-07 23:40:00,3.0,141.0,,IMP SantaRosa
2020-02-07 23:50:00,2.7,140.0,,IMP SantaRosa
2020-02-08 00:00:00,2.4,144.0,,IMP SantaRosa
2020-02-08 00:10:00,2.6,147.0,,IMP SantaRosa
2020-02-08 00:20:00,2.0,144.0,,IMP SantaRosa
2020-02-08 00:30:00,1.7,135.0,,IMP SantaRosa
2020-02-08 00:40:00,2.1,135.0,,IMP SantaRosa
2020-02-08 00:50:00,2.0,136.0,,IMP SantaRosa
2020-02-08 01:00:00,2.5,143.0,,IMP SantaRosa
2020-02-08 01:10:00,2.7,138.0,,IMP SantaRosa
2020-02-08 01:20:00,2.2,144.0,,IMP SantaRosa
2020-02-08 01:30:00,2.3,146.0,,IMP SantaRosa
2020-02-08 01:40:00,2.9,149.0,,IMP SantaRosa
2020-02-08 01:50:00,3.3,149.0,,IMP SantaRosa
2020-02-08 02:00:00,2.5,141.0,,IMP SantaRosa
2020-02-08 02:10:00,2.9,144.0,,IMP SantaRosa
2020-02-08 02:20:00,3.7,151.0,,IMP SantaRosa
2020-02-08 02:30:00,2.6,145.0,,IMP SantaRosa
2020-02-08 02:40:00,1.9,141.0,,IMP SantaRosa
2020-02-08 02:50:00,1.5,141.0,,IMP SantaRosa
2020-02-08 03:00:00,1.7,140.0,,IMP SantaRosa
