datetime,velocidad,direccion,tsm,estacion
2025-01-01 09:00:00,2.6,243.0,,SNM Casma
2025-01-01 10:00:00,3.4,220.0,,SNM Casma
2025-01-01 11:00:00,2.5,263.0,,SNM Casma
2025-01-01 12:00:00,2.6,284.0,,SNM Casma
2025-01-01 13:00:00,2.2,286.0,,SNM Casma
2025-01-01 14:00:00,2.9,278.0,,SNM Casma
2025-01-01 15:00:00,4.1,292.0,,SNM Casma
2025-01-01 16:00:00,3.1,269.0,,SNM Casma
2025-01-01 17:00:00,5.9,193.0,,SNM Casma
2025-01-01 18:00:00,4.4,201.0,,SNM Casma
2025-01-01 19:00:00,3.8,237.0,,SNM Casma
2025-01-01 20:00:00,2.9,242.0,,SNM Casma
2025-01-01 21:00:00,2.1,226.0,,SNM Casma
2025-01-01 22:00:00,1.6,351.0,,SNM Casma
2025-01-01 23:00:00,0.4,288.0,,SNM Casma
2025-01-02 00:00:00,1.4,259.0,,SNM Casma
2025-01-02 01:00:00,0.4,258.0,,SNM Casma
2025-01-02 02:00:00,1.0,229.0,,SNM Casma
2025-01-02 03:00:00,0.5,246.0,,SNM Casma
2025-01-02 04:00:00,0.0,274.0,,SNM Casma
2025-01-02 05:00:00,0.6,233.0,,SNM Casma
2025-01-02 06:00:00,0.2,228.0,,SNM Casma
2025-01-02 07:00:00,0.0,156.0,,SNM Casma
2025-01-02 08:00:00,0.8,241.0,,SNM Casma
2025-01-02 09:00:00,0.1,280.0,,SNM Casma
2025-01-02 10:00:00,0.9,285.0,,SNM Casma
2025-01-02 11:00:00,1.5,209.0,,SNM Casma
2025-01-02 12:00:00,3.0,292.0,,SNM Casma
2025-01-02 13:00:00,1.9,288.0,,SNM Casma
2025-01-02 14:00:00,3.5,271.0,,SNM Casma
2025-01-02 15:00:00,3.5,293.0,,SNM Casma
2025-01-02 16:00:00,3.6,305.0,,SNM Casma
2025-01-02 17:00:00,2.9,307.0,,SNM Casma
2025-01-02 18:00:00,1.6,316.0,,SNM Casma
2025-01-02 19:00:00,0.6,260.0,,SNM Casma
2025-01-02 20:00:00,1.0,270.0,,SNM Casma
2025-01-02 21:00:00,0.2,280.0,,SNM Casma
2025-01-02 22:00:00,0.5,297.0,,SNM Casma
2025-01-02 23:00:00,0.0,248.0,,SNM Casma
2025-01-03 00:00:00,0.8,274.0,,SNM Casma
2025-01-03 01:00:00,0.4,261.0,,SNM Casma
2025-01-03 02:00:00,0.1,262.0,,SNM Casma
2025-01-03 03:00:00,0.1,267.0,,SNM Casma
2025-01-03 04:00:00,0.4,274.0,,SNM Casma
2025-01-03 05:00:00,0.5,272.0,,SNM Casma
2025-01-03 06:00:00,0.6,253.0,,SNM Casma
2025-01-03 07:00:00,0.0,301.0,,SNM Casma
2025-01-03 08:00:00,0.1,269.0,,SNM Casma
2025-01-03 09:00:00,0.1,254.0,,SNM Casma
2025-01-03 10:00:00,0.9,306.0,,SNM Casma
2025-01-03 11:00:00,2.2,204.0,,SNM Casma
2025-01-03 12:00:00,3.7,233.0,,SNM Casma
2025-01-03 13:00:00,3.7,288.0,,SNM Casma
2025-01-03 14:00:00,4.5,287.0,,SNM Casma
2025-01-03 15:00:00,4.6,305.0,,SNM Casma
2025-01-03 16:00:00,3.8,299.0,,SNM Casma
2025-01-03 17:00:00,2.0,281.0,,SNM Casma
2025-01-03 18:00:00,3.2,278.0,,SNM Casma
2025-01-03 19:00:00,2.3,268.0,,SNM Casma
2025-01-03 20:00:00,1.8,239.0,,SNM Casma
2025-01-03 21:00:00,0.7,268.0,,SNM Casma
2025-01-03 22:00:00,0.9,265.0,,SNM Casma
2025-01-03 23:00:00,0.4,280.0,,SNM Casma
2025-01-04 00:00:00,0.0,209.0,,SNM Casma
2025-01-04 01:00:00,0.0,261.0,,SNM Casma
2025-01-04 02:00:00,0.0,285.0,,SNM Casma
2025-01-04 03:00:00,0.0,247.0,,SNM Casma
2025-01-04 04:00:00,0.0,223.0,,SNM Casma
2025-01-04 05:00:00,0.0,266.0,,SNM Casma
2025-01-04 06:00:00,0.2,242.0,,SNM Casma
2025-01-04 07:00:00,0.1,228.0,,SNM Casma
2025-01-04 08:00:00,0.0,262.0,,SNM Casma
2025-01-04 09:00:00,0.3,270.0,,SNM Casma
2025-01-04 10:00:00,2.5,228.0,,SNM Casma
2025-01-04 11:00:00,3.2,231.0,,SNM Casma
2025-01-04 12:00:00,3.6,233.0,,SNM Casma
2025-01-04 13:00:00,3.9,234.0,,SNM Casma
2025-01-04 14:00:00,3.9,272.0,,SNM Casma
2025-01-04 15:00:00,3.9,272.0,,SNM Casma
2025-01-04 16:00:00,3.2,226.0,,SNM Casma
2025-01-04 17:00:00,2.7,230.0,,SNM Casma
2025-01-04 18:00:00,2.8,257.0,,SNM Casma
2025-01-04 19:00:00,2.8,257.0,,SNM Casma
2025-01-04 20:00:00,1.8,304.0,,SNM Casma
2025-01-04 21:00:00,0.2,318.0,,SNM Casma
2025-01-04 22:00:00,1.9,253.0,,SNM Casma
2025-01-04 23:00:00,0.0,326.0,,SNM Casma
2025-01-05 00:00:00,1.1,275.0,,SNM Casma
2025-01-05 01:00:00,0.7,287.0,,SNM Casma
2025-01-05 02:00:00,1.4,249.0,,SNM Casma
2025-01-05 03:00:00,1.1,247.0,,SNM Casma
2025-01-05 04:00:00,0.0,330.0,,SNM Casma
2025-01-05 05:00:00,0.0,241.0,,SNM Casma
2025-01-05 06:00:00,0.0,140.0,,SNM Casma
2025-01-05 07:00:00,1.0,256.0,,SNM Casma
2025-01-05 08:00:00,0.1,227.0,,SNM Casma
2025-01-05 09:00:00,0.8,225.0,,SNM Casma
2025-01-05 10:00:00,0.8,225.0,,SNM Casma
2025-01-05 11:00:00,2.6,229.0,,SNM Casma
2025-01-05 12:00:00,2.4,221.0,,SNM Casma
2025-01-05 13:00:00,3.6,222.0,,SNM Casma
2025-01-05 14:00:00,2.9,276.0,,SNM Casma
2025-01-05 15:00:00,1.7,247.0,,SNM Casma
2025-01-05 16:00:00,2.1,278.0,,SNM Casma
2025-01-05 17:00:00,2.3,246.0,,SNM Casma
2025-01-05 18:00:00,3.6,239.0,,SNM Casma
2025-01-05 19:00:00,3.6,239.0,,SNM Casma
2025-01-05 20:00:00,0.3,240.0,,SNM Casma
2025-01-05 21:00:00,1.4,240.0,,SNM Casma
2025-01-05 22:00:00,0.1,245.0,,SNM Casma
2025-01-05 23:00:00,0.6,236.0,,SNM Casma
2025-01-06 00:00:00,0.1,273.0,,SNM Casma
2025-01-06 01:00:00,1.0,254.0,,SNM Casma
2025-01-06 02:00:00,0.7,268.0,,SNM Casma
2025-01-06 03:00:00,0.7,268.0,,SNM Casma
2025-01-06 04:00:00,0.0,270.0,,SNM Casma
2025-01-06 05:00:00,0.8,259.0,,SNM Casma
2025-01-06 06:00:00,0.0,233.0,,SNM Casma
2025-01-06 07:00:00,0.0,272.0,,SNM Casma
2025-01-06 08:00:00,0.4,242.0,,SNM Casma
2025-01-06 09:00:00,1.0,258.0,,SNM Casma
2025-01-06 10:00:00,1.8,232.0,,SNM Casma
2025-01-06 11:00:00,1.7,269.0,,SNM Casma
2025-01-06 12:00:00,1.6,261.0,,SNM Casma
2025-01-06 13:00:00,2.6,308.0,,SNM Casma
2025-01-06 14:00:00,2.5,264.0,,SNM Casma
2025-01-06 15:00:00,2.3,290.0,,SNM Casma
2025-01-06 16:00:00,2.6,246.0,,SNM Casma
2025-01-06 17:00:00,3.0,245.0,,SNM Casma
2025-01-06 18:00:00,2.7,242.0,,SNM Casma
2025-01-06 19:00:00,2.7,242.0,,SNM Casma
2025-01-06 20:00:00,1.4,281.0,,SNM Casma
2025-01-06 21:00:00,1.8,240.0,,SNM Casma
2025-01-06 22:00:00,0.6,249.0,,SNM Casma
2025-01-06 23:00:00,0.2,264.0,,SNM Casma
2025-01-07 00:00:00,0.3,279.0,,SNM Casma
2025-01-07 01:00:00,0.2,254.0,,SNM Casma
2025-01-07 02:00:00,0.0,255.0,,SNM Casma
2025-01-07 03:00:00,1.7,256.0,,SNM Casma
2025-01-07 04:00:00,0.7,224.0,,SNM Casma
2025-01-07 05:00:00,0.4,234.0,,SNM Casma
2025-01-07 06:00:00,1.1,231.0,,SNM Casma
2025-01-07 07:00:00,0.4,230.0,,SNM Casma
2025-01-07 08:00:00,1.9,249.0,,SNM Casma
2025-01-07 09:00:00,2.1,243.0,,SNM Casma
2025-01-07 10:00:00,0.9,239.0,,SNM Casma
2025-01-07 11:00:00,1.9,228.0,,SNM Casma
2025-01-07 12:00:00,1.3,218.0,,SNM Casma
2025-01-07 13:00:00,2.6,207.0,,SNM Casma
2025-01-07 14:00:00,1.9,217.0,,SNM Casma
2025-01-07 15:00:00,1.9,217.0,,SNM Casma
2025-01-07 16:00:00,3.2,238.0,,SNM Casma
2025-01-07 17:00:00,2.3,280.0,,SNM Casma
2025-01-07 18:00:00,2.4,274.0,,SNM Casma
2025-01-07 19:00:00,2.4,274.0,,SNM Casma
2025-01-07 20:00:00,1.1,263.0,,SNM Casma
2025-01-07 21:00:00,0.6,270.0,,SNM Casma
2025-01-07 22:00:00,0.1,314.0,,SNM Casma
2025-01-07 23:00:00,0.2,298.0,,SNM Casma
2025-01-08 00:00:00,2.0,254.0,,SNM Casma
2025-01-08 01:00:00,1.2,213.0,,SNM Casma
2025-01-08 02:00:00,0.3,254.0,,SNM Casma
2025-01-08 03:00:00,1.5,246.0,,SNM Casma
2025-01-08 04:00:00,0.5,233.0,,SNM Casma
2025-01-08 05:00:00,1.4,235.0,,SNM Casma
