Fecha,DV,VV
2026-04-27 00:00:00,311.0,3.6
2026-04-27 00:10:00,215.0,3.8
2026-04-27 00:20:00,267.0,3.0
2026-04-27 00:30:00,272.0,3.4
2026-04-27 00:40:00,327.0,3.9
2026-04-27 00:50:00,300.0,3.0
2026-04-27 01:00:00,2.0,3.3
2026-04-27 01:10:00,19.0,3.2
2026-04-27 01:20:00,229.0,3.5
2026-04-27 01:30:00,357.0,3.5
2026-04-27 01:40:00,346.0,3.9
2026-04-27 01:50:00,350.0,4.2
2026-04-27 02:00:00,12.0,3.4
2026-04-27 02:10:00,347.0,3.5
2026-04-27 02:20:00,5.0,3.9
2026-04-27 02:30:00,89.0,3.2
2026-04-27 02:40:00,34.0,3.2
2026-04-27 02:50:00,114.0,3.7
2026-04-27 03:00:00,130.0,3.7
2026-04-27 03:10:00,29.0,3.9
2026-04-27 03:20:00,63.0,4.5
2026-04-27 03:30:00,16.0,3.7
2026-04-27 03:40:00,13.0,4.3
2026-04-27 03:50:00,14.0,3.9
2026-04-27 04:00:00,16.0,3.7
2026-04-27 04:10:00,319.0,3.5
2026-04-27 04:20:00,8.0,3.7
2026-04-27 04:30:00,342.0,3.6
2026-04-27 04:40:00,6.0,3.7
2026-04-27 04:50:00,277.0,3.4
2026-04-27 05:00:00,6.0,3.7
2026-04-27 05:10:00,37.0,3.7
2026-04-27 05:20:00,4.0,3.6
2026-04-27 05:30:00,63.0,3.7
2026-04-27 05:40:00,337.0,3.0
2026-04-27 05:50:00,40.0,3.4
2026-04-27 06:00:00,207.0,3.8
2026-04-27 06:10:00,91.0,3.5
2026-04-27 06:20:00,221.0,4.2
2026-04-27 06:30:00,100.0,3.8
2026-04-27 06:40:00,184.0,3.9
2026-04-27 06:50:00,70.0,3.3
2026-04-27 07:00:00,85.0,3.1
2026-04-27 07:10:00,282.0,2.8
2026-04-27 07:20:00,171.0,3.5
2026-04-27 07:30:00,354.0,3.3
2026-04-27 07:40:00,147.0,3.3
2026-04-27 07:50:00,180.0,3.3
2026-04-27 08:00:00,99.0,3.8
2026-04-27 08:10:00,175.0,4.0
2026-04-27 08:20:00,124.0,3.2
2026-04-27 08:30:00,34.0,4.2
2026-04-27 08:40:00,352.0,3.3
2026-04-27 08:50:00,359.0,3.9
2026-04-27 09:00:00,341.0,3.9
2026-04-27 09:10:00,321.0,3.5
2026-04-27 09:20:00,8.0,3.5
2026-04-27 09:30:00,337.0,4.1
2026-04-27 09:40:00,296.0,4.1
2026-04-27 09:50:00,332.0,3.7
2026-04-27 10:00:00,120.0,3.9
2026-04-27 10:10:00,322.0,3.8
2026-04-27 10:20:00,328.0,4.5
2026-04-27 10:30:00,317.0,3.5
2026-04-27 10:40:00,8.0,4.1
2026-04-27 10:50:00,359.0,3.9
2026-04-27 11:00:00,9.0,4.8
2026-04-27 11:10:00,339.0,4.2
2026-04-27 11:20:00,280.0,4.7
2026-04-27 11:30:00,341.0,4.2
2026-04-27 11:40:00,60.0,4.4
2026-04-27 11:50:00,351.0,3.5
2026-04-27 12:00:00,133.0,4.5
2026-04-27 12:10:00,50.0,4.7
2026-04-27 12:20:00,298.0,4.1
2026-04-27 12:30:00,300.0,5.0
2026-04-27 12:40:00,8.0,4.1
2026-04-27 12:50:00,328.0,4.6
2026-04-27 13:00:00,350.0,4.6
2026-04-27 13:10:00,321.0,4.2
2026-04-27 13:20:00,298.0,4.1
2026-04-27 13:30:00,22.0,4.7
