Fecha,DV,VV
2026-03-23 00:00:00,163.0,3.6
2026-03-23 00:10:00,162.0,3.9
2026-03-23 00:20:00,166.0,3.7
2026-03-23 00:30:00,168.0,4.0
2026-03-23 00:40:00,169.0,4.3
2026-03-23 00:50:00,169.0,4.4
2026-03-23 01:00:00,165.0,3.5
2026-03-23 01:10:00,157.0,3.0
2026-03-23 01:20:00,160.0,3.2
2026-03-23 01:30:00,159.0,3.4
2026-03-23 01:40:00,161.0,3.0
2026-03-23 01:50:00,158.0,3.3
2026-03-23 02:00:00,163.0,3.1
2026-03-23 02:10:00,161.0,3.3
2026-03-23 02:20:00,157.0,3.7
2026-03-23 02:30:00,160.0,3.5
2026-03-23 02:40:00,165.0,3.4
2026-03-23 02:50:00,166.0,3.6
2026-03-23 03:00:00,166.0,3.7
2026-03-23 03:10:00,165.0,2.9
2026-03-23 03:20:00,162.0,3.2
2026-03-23 03:30:00,149.0,3.0
2026-03-23 03:40:00,152.0,2.6
2026-03-23 03:50:00,154.0,3.2
2026-03-23 04:00:00,147.0,2.8
2026-03-23 04:10:00,152.0,2.9
2026-03-23 04:20:00,147.0,2.5
2026-03-23 04:30:00,145.0,2.3
2026-03-23 04:40:00,143.0,2.6
2026-03-23 04:50:00,145.0,2.5
2026-03-23 05:00:00,158.0,2.4
2026-03-23 05:10:00,161.0,2.2
2026-03-23 05:20:00,158.0,2.0
2026-03-23 05:30:00,164.0,2.3
2026-03-23 05:40:00,162.0,2.0
2026-03-23 05:50:00,161.0,2.2
2026-03-23 06:00:00,162.0,2.0
2026-03-23 06:10:00,159.0,1.9
2026-03-23 06:20:00,164.0,2.0
2026-03-23 06:30:00,159.0,2.0
2026-03-23 06:40:00,161.0,2.0
2026-03-23 06:50:00,155.0,2.6
2026-03-23 07:00:00,157.0,2.5
2026-03-23 07:10:00,137.0,2.3
2026-03-23 07:20:00,132.0,2.6
2026-03-23 07:30:00,138.0,2.7
2026-03-23 07:40:00,137.0,2.3
2026-03-23 07:50:00,142.0,2.4
2026-03-23 08:00:00,151.0,2.5
2026-03-23 08:10:00,151.0,3.2
2026-03-23 08:20:00,151.0,3.0
2026-03-23 08:30:00,152.0,3.6
2026-03-23 08:40:00,164.0,3.5
