Fecha,"Imarpe Callao - Precipitación Acumulada - Val (mm)","Imarpe Callao - Temperatura de Agua - Val (ºC)","Imarpe Callao - Conductividad - Val (mS/cm)","Imarpe Callao - Presion - Val (dbar)","Imarpe Callao - Oxigeno Disuelto - Val (ml/l)","Imarpe Callao - Salinidad - Val (PSU)","Imarpe Callao - Batería - Val (V)","Imarpe Callao - Temperatura Med - Val (ºC)","Imarpe Callao - Humedad Relativa - Val (%)","Imarpe Callao - Presion Atmosférica - Val (hPa)","Imarpe Callao - Direccion de Viento - Val (º)","Imarpe Callao - Velocidad de Viento - Val (m/s)","Imarpe Callao - Radiación Solar - Val (W/m2)"
"2024-01-01 00:00",0.0,,,,,,12.6,21.2,96,1013.5,125,3.3,8
"2024-01-01 00:10",0.0,17.52,,,,,12.6,21.2,96,1013.3,118,3.8,8
"2024-01-01 00:20",0.0,,,,,,12.6,21.2,96,1013.2,121,3.1,8
"2024-01-01 00:30",0.0,17.52,,,,,12.6,21.2,96,1013.1,118,3.4,7
"2024-01-01 00:40",0.0,17.52,,,,,12.6,21.2,96,1013.0,122,3.4,8
"2024-01-01 00:50",0.0,17.44,,,,,12.6,21.2,96,1013.0,114,3.7,7
"2024-01-01 01:00",0.0,17.44,,,,,12.6,21.2,96,1013.0,109,3.7,9
"2024-01-01 01:10",0.0,17.44,,,,,12.6,21.1,96,1012.8,114,3.8,8
"2024-01-01 01:20",0.0,17.44,,,,,12.6,21.2,96,1012.8,114,3.2,8
"2024-01-01 01:30",0.0,17.35,,,,,12.6,21.2,96,1012.8,126,2.5,7
"2024-01-01 01:40",0.0,17.34,,,,,12.6,21.1,96,1012.8,124,3.1,8
"2024-01-01 01:50",0.0,17.44,,,,,12.6,21.2,96,1012.7,119,3.1,8
"2024-01-01 02:00",0.0,17.44,,,,,12.6,21.1,96,1012.5,131,2.8,6
"2024-01-01 02:10",0.0,17.34,,,,,12.6,21.1,96,1012.4,123,3.4,8
"2024-01-01 02:20",0.0,17.34,,,,,12.6,21.1,96,1012.4,121,3.8,9
"2024-01-01 02:30",0.0,17.34,,,,,12.6,21.1,96,1012.4,124,3.4,8
"2024-01-01 02:40",0.0,17.34,,,,,12.6,21.1,96,1012.4,119,3.3,8
"2024-01-01 02:50",0.0,17.44,,,,,12.6,21.1,96,1012.3,115,2.9,8
"2024-01-01 03:00",0.0,17.34,,,,,12.6,21.1,96,1012.2,117,2.9,8
"2024-01-01 03:10",0.0,17.34,,,,,12.6,21.1,96,1012.0,126,2.5,7
"2024-01-01 03:20",0.0,17.34,,,,,12.6,21.1,96,1012.0,109,2.7,9
"2024-01-01 03:30",0.0,17.34,,,,,12.6,21.1,96,1012.0,118,3.3,8
"2024-01-01 03:40",0.0,17.34,,,,,12.6,21.1,96,1012.0,114,3.2,8
"2024-01-01 03:50",0.0,17.34,,,,,12.6,21.1,96,1011.9,112,2.9,9
"2024-01-01 04:00",0.0,17.34,,,,,12.6,21.1,96,1012.0,114,3.1,8
"2024-01-01 04:10",0.0,17.34,,,,,12.5,21.1,96,1012.0,116,2.4,8
"2024-01-01 04:20",0.0,17.34,,,,,12.5,21.2,96,1012.1,109,2.7,9
"2024-01-01 04:30",0.0,17.26,,,,,12.5,21.1,96,1012.2,131,2.0,7
"2024-01-01 04:40",0.0,,,,,,12.5,21.1,96,1012.3,118,2.0,9
"2024-01-01 04:50",0.0,17.27,,,,,12.5,21.1,96,1012.4,126,2.4,8
"2024-01-01 05:00",0.0,,,,,,12.5,21.1,96,1012.5,130,2.3,9
"2024-01-01 05:10",0.0,17.34,,,,,12.5,21.0,96,1012.6,134,2.1,8
"2024-01-01 05:20",0.0,17.34,,,,,12.5,21.1,96,1012.7,115,2.4,8
"2024-01-01 05:30",0.0,17.34,,,,,12.5,21.1,96,1012.9,116,2.0,8
"2024-01-01 05:40",0.0,17.34,,,,,12.5,21.1,96,1013.1,122,1.7,8
"2024-01-01 05:50",0.0,17.34,,,,,12.5,21.0,96,1013.2,116,1.8,7
"2024-01-01 06:00",0.0,17.34,,,,,12.5,21.0,96,1013.4,116,1.6,6
"2024-01-01 06:10",0.0,17.34,,,,,12.5,21.1,96,1013.5,119,1.9,8
"2024-01-01 06:20",0.0,17.34,,,,,12.5,21.1,96,1013.5,129,2.2,7
"2024-01-01 06:30",0.0,17.34,,,,,12.6,21.2,96,1013.6,115,2.3,6
"2024-01-01 06:40",0.0,17.34,,,,,12.6,21.2,96,1013.7,111,1.6,8
"2024-01-01 06:50",0.0,17.34,,,,,12.6,21.2,96,1013.7,116,1.6,8
"2024-01-01 07:00",0.0,17.34,,,,,12.6,21.2,96,1013.7,119,2.1,8
"2024-01-01 07:10",0.0,17.34,,,,,12.7,21.3,96,1013.8,128,1.7,8
"2024-01-01 07:20",0.0,17.34,,,,,12.9,21.3,96,1013.8,120,1.3,6
"2024-01-01 07:30",0.0,17.44,,,,,13.0,21.4,96,1013.9,115,1.3,6
"2024-01-01 07:40",0.0,17.44,,,,,13.0,21.5,96,1013.7,118,1.3,7
