Fecha;Inside temperature ;Temperature ;Wind chill ;Inside dew point ;Dew point ;Inside heat index ;Heat index ;Inside humidity;Humidity;Wind gust ;Average wind speed ;Average wind direction ;Atmospheric pressure ;Rain ;Evapotranspiration ;Rain rate ;Solar radiation ;UV index
1/02/2025 00:00;29.7;22.7;22.8;;20;;23.9;49;85;4;3.1;77;1,010.80;0;0;0;0;0
1/02/2025 00:10;29.7;22.7;22.2;;20;;23.9;49;85;4.5;3.6;67;1,010.80;0;0;0;0;0
1/02/2025 00:20;29.7;22.7;21.7;;20;;23.9;49;85;4.9;4;76;1,010.80;0;0;0;0;0
1/02/2025 00:30;29.6;22.7;21.7;;20;;23.9;49;85;6.7;4.5;84;1,010.80;0;0;0;0;0
1/02/2025 00:40;29.7;22.8;21.1;;20;;23.9;49;85;7.2;4.5;75;1,010.70;0;0;0;0;0
1/02/2025 00:50;29.6;22.8;21.7;;20;;23.9;49;84;6.7;5.4;73;1,010.60;0;0;0;0;0
1/02/2025 01:00;29.7;22.8;21.7;;20;;23.9;49;84;6.3;4.5;81;1,010.60;0;0.1;0;0;0
1/02/2025 01:10;29.7;22.8;21.7;;20;;23.9;49;84;6.3;4.9;77;1,010.50;0;0.1;0;0;0
1/02/2025 01:20;29.7;22.9;21.7;;20;;23.9;49;83;5.8;4.9;75;1,010.30;0;0.1;0;0;0
1/02/2025 01:30;29.7;22.9;22.2;;20;;23.9;49;83;4.5;3.6;76;1,010.20;0;0.1;0;0;0
1/02/2025 01:40;29.6;22.8;22.2;;20;;23.9;49;83;4;3.1;73;1,010.20;0;0.1;0;0;0
1/02/2025 01:50;29.6;22.9;22.2;;20;;23.9;49;83;4.5;3.6;92;1,010.10;0;0.1;0;0;0
1/02/2025 02:00;29.6;22.9;22.2;;20;;23.9;49;83;4.9;3.6;75;1,010;0;0.1;0;0;0
1/02/2025 02:10;29.7;22.9;21.7;;20;;23.9;49;82;4.5;3.6;75;1,009.90;0;0.1;0;0;0
1/02/2025 02:20;29.7;22.9;22.2;;20;;23.9;49;82;4.5;3.6;73;1,010;0;0.1;0;0;0
1/02/2025 02:30;29.7;23;22.2;;20;;23.9;49;82;4.9;3.6;74;1,009.80;0;0.1;0;0;0
1/02/2025 02:40;29.7;23;21.7;;19.4;;23.9;49;81;4.9;3.6;76;1,009.70;0;0.1;0;0;0
1/02/2025 02:50;29.7;23;21.7;;19.4;;23.9;49;81;4.9;3.6;76;1,009.60;0;0.1;0;0;0
1/02/2025 03:00;29.7;23;22.2;;19.4;;23.9;49;81;4;3.6;75;1,009.50;0;0.2;0;0;0
1/02/2025 03:10;29.7;23;22.8;;19.4;;23.9;49;81;4;2.7;69;1,009.40;0;0.2;0;0;0
1/02/2025 03:20;29.7;23;22.2;;19.4;;23.9;49;81;3.1;2.7;85;1,009.30;0;0.2;0;0;0
1/02/2025 03:30;29.7;23.1;23.3;;19.4;;23.9;48;80;3.6;2.7;95;1,009.20;0;0.2;0;0;0
1/02/2025 03:40;29.6;22.6;22.8;;19.4;;23.3;48;81;1.8;0.9;96;1,009.30;0;0.2;0;0;0
1/02/2025 03:50;29.7;22.3;22.2;;18.9;;23.3;48;82;1.8;0.4;97;1,009.20;0;0.2;0;0;0
1/02/2025 04:00;29.7;22.2;22.2;;18.9;;22.8;48;82;0.4;0;95;1,009.20;0;0.2;0;0;0
1/02/2025 04:10;29.7;22.1;22.2;;18.9;;22.8;48;83;0;0;96;1,009.20;0;0.2;0;0;0
1/02/2025 04:20;29.7;22.1;22.2;;18.9;;22.8;48;83;0.9;0;100;1,009.20;0;0.2;0;0;0
1/02/2025 04:30;29.7;21.9;22.2;;18.9;;22.8;48;83;0.9;0;99;1,009.40;0;0.2;0;0;0
1/02/2025 04:40;29.7;21.8;21.7;;18.9;;22.8;48;84;0.9;0.4;97;1,009.40;0;0.2;0;0;0
1/02/2025 04:50;29.7;21.8;21.7;;18.9;;22.8;48;84;0.9;0;98;1,009.60;0;0.2;0;0;0
