Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CAMANA
Departamento :,AREQUIPA,Provincia :,CAMANA,Distrito :,CAMANA
Latitud :,16°38'38.22'',Longitud :,72°42'15.54'',Altitud :,8 msnm.
Tipo :,PE - Meteorológica,Código :,116084
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/11/01,00:00,16.4,0.0,84,113,1.7
2025/11/01,01:00,16.7,0.0,82,115,1.7
2025/11/01,02:00,16.2,0.0,85,112,1.7
2025/11/01,03:00,15.7,0.0,87,115,1.8
2025/11/01,04:00,15.2,0.0,89,121,0.5
2025/11/01,05:00,15.1,0.0,91,156,0.1
2025/11/01,06:00,15.5,0.0,87,115,0.9
2025/11/01,07:00,17.0,0.0,83,123,1.2
2025/11/01,08:00,19.3,0.0,73,125,2.7
2025/11/01,09:00,21.2,0.0,66,131,4.0
2025/11/01,10:00,22.1,0.0,63,129,2.8
2025/11/01,11:00,22.3,0.0,60,139,3.0
2025/11/01,12:00,21.8,0.0,65,141,4.2
2025/11/01,13:00,22.1,0.0,66,127,4.9
2025/11/01,14:00,22.3,0.0,68,115,5.1
2025/11/01,15:00,22.1,0.0,70,120,5.3
2025/11/01,16:00,21.6,0.0,72,119,4.3
2025/11/01,17:00,20.9,0.0,71,116,4.1
2025/11/01,18:00,19.2,0.0,75,116,3.5
2025/11/01,19:00,17.9,0.0,79,107,3.5
2025/11/01,20:00,18.2,0.0,75,93,3.9
2025/11/01,21:00,17.9,0.0,75,108,3.1
2025/11/01,22:00,17.1,0.0,79,106,2.8
2025/11/01,23:00,16.5,0.0,85,110,2.0
2025/11/02,00:00,17.0,0.0,83,106,1.9
2025/11/02,01:00,17.1,0.0,81,107,1.6
2025/11/02,02:00,16.9,0.0,81,107,1.5
2025/11/02,03:00,16.9,0.0,79,108,1.7
2025/11/02,04:00,16.5,0.0,81,110,0.8
2025/11/02,05:00,16.5,0.0,83,119,1.0
2025/11/02,06:00,16.5,0.0,84,46,0.0
2025/11/02,07:00,18.1,0.0,73,110,2.3
2025/11/02,08:00,19.4,0.0,71,117,2.5
2025/11/02,09:00,21.4,0.0,65,133,3.8
2025/11/02,10:00,21.6,0.0,66,121,4.1
2025/11/02,11:00,22.1,0.0,63,122,4.3
2025/11/02,12:00,21.7,0.0,65,132,4.4
2025/11/02,13:00,22.4,0.0,63,125,4.7
2025/11/02,14:00,22.0,0.0,66,137,5.2
2025/11/02,15:00,21.3,0.0,70,132,5.0
2025/11/02,16:00,21.6,0.0,68,119,5.0
2025/11/02,17:00,20.7,0.0,70,116,3.9
2025/11/02,18:00,19.0,0.0,74,112,3.8
2025/11/02,19:00,17.6,0.0,77,112,3.6
2025/11/02,20:00,17.2,0.0,76,107,3.4
2025/11/02,21:00,16.9,0.0,78,101,2.3
2025/11/02,22:00,16.4,0.0,81,76,1.1
2025/11/02,23:00,17.0,0.0,80,112,1.3
2025/11/03,00:00,17.1,0.0,81,118,1.6
2025/11/03,01:00,16.8,0.0,83,118,1.7
2025/11/03,02:00,16.6,0.0,83,91,1.3
2025/11/03,03:00,16.6,0.0,83,126,1.7
2025/11/03,04:00,16.3,0.0,86,100,1.4
2025/11/03,05:00,17.1,0.0,78,118,0.8
2025/11/03,06:00,16.7,0.0,81,115,1.2
2025/11/03,07:00,17.9,0.0,74,68,2.2
2025/11/03,08:00,20.9,0.0,62,124,3.4
2025/11/03,09:00,21.7,0.0,60,142,3.4
2025/11/03,10:00,21.5,0.0,62,137,4.3
2025/11/03,11:00,21.5,0.0,64,148,3.6
2025/11/03,12:00,21.6,0.0,64,133,5.0
2025/11/03,13:00,21.6,0.0,67,138,4.7
2025/11/03,14:00,22.0,0.0,68,132,4.4
2025/11/03,15:00,21.9,0.0,70,142,3.7
2025/11/03,16:00,21.3,0.0,72,147,4.3
2025/11/03,17:00,19.9,0.0,77,131,3.5
2025/11/03,18:00,19.1,0.0,78,111,3.7
2025/11/03,19:00,18.6,0.0,79,107,2.5
2025/11/03,20:00,18.6,0.0,76,97,3.0
2025/11/03,21:00,18.4,0.0,76,110,3.0
2025/11/03,22:00,18.0,0.0,77,107,2.4
2025/11/03,23:00,17.2,0.0,80,105,2.9
2025/11/04,00:00,17.4,0.0,80,97,2.9
2025/11/04,01:00,17.7,0.0,78,98,2.5
2025/11/04,02:00,17.5,0.0,79,104,2.1
2025/11/04,03:00,17.3,0.0,81,114,1.8
2025/11/04,04:00,17.0,0.0,84,116,2.2
2025/11/04,05:00,16.8,0.0,85,118,1.6
2025/11/04,06:00,16.8,0.0,85,125,1.3
2025/11/04,07:00,17.6,0.0,83,108,2.1
2025/11/04,08:00,19.4,0.0,75,122,3.6
2025/11/04,09:00,20.9,0.0,71,136,4.3
2025/11/04,10:00,20.9,0.0,71,139,3.9
2025/11/04,11:00,21.8,0.0,66,129,4.1
2025/11/04,12:00,22.2,0.0,66,123,4.4
2025/11/04,13:00,22.8,0.0,65,134,5.0
2025/11/04,14:00,22.3,0.0,67,112,4.8
2025/11/04,15:00,22.1,0.0,69,116,4.5
2025/11/04,16:00,21.4,0.0,72,116,4.8
2025/11/04,17:00,20.6,0.0,72,110,3.8
2025/11/04,18:00,19.3,0.0,75,110,3.3
2025/11/04,19:00,17.9,0.0,78,119,2.6
2025/11/04,20:00,16.9,0.0,81,115,2.3
2025/11/04,21:00,16.8,0.0,83,113,2.1
2025/11/04,22:00,17.2,0.0,83,110,2.0
2025/11/04,23:00,16.4,0.0,85,111,2.3
2025/11/05,00:00,15.9,0.0,86,113,2.1
2025/11/05,01:00,15.3,0.0,88,111,1.8
2025/11/05,02:00,15.4,0.0,87,114,1.1
2025/11/05,03:00,15.0,0.0,86,110,0.2
2025/11/05,04:00,14.6,0.0,87,91,0.0
2025/11/05,05:00,14.2,0.0,91,126,0.7
2025/11/05,06:00,14.4,0.0,92,103,1.0
2025/11/05,07:00,17.8,0.0,81,115,3.4
2025/11/05,08:00,19.7,0.0,74,120,3.9
2025/11/05,09:00,21.1,0.0,68,116,5.1
2025/11/05,10:00,22.0,0.0,66,115,5.5
2025/11/05,11:00,21.7,0.0,68,114,4.4
2025/11/05,12:00,22.2,0.0,66,130,4.2
2025/11/05,13:00,22.3,0.0,67,117,4.6
2025/11/05,14:00,22.1,0.0,66,123,4.4
2025/11/05,15:00,21.7,0.0,67,115,4.6
2025/11/05,16:00,20.8,0.0,70,116,3.6
2025/11/05,17:00,20.3,0.0,70,117,3.5
2025/11/05,18:00,19.2,0.0,75,114,3.7
2025/11/05,19:00,17.6,0.0,82,114,3.4
2025/11/05,20:00,17.3,0.0,83,113,3.2
2025/11/05,21:00,16.8,0.0,86,120,1.9
2025/11/05,22:00,16.8,0.0,89,104,2.2
2025/11/05,23:00,17.2,0.0,86,104,2.4
2025/11/06,00:00,17.2,0.0,87,103,2.2
2025/11/06,01:00,16.9,0.0,88,115,2.1
2025/11/06,02:00,16.5,0.0,91,111,2.0
2025/11/06,03:00,16.4,0.0,89,122,1.9
2025/11/06,04:00,15.8,0.0,91,118,1.8
2025/11/06,05:00,15.0,0.0,90,84,1.1
