Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CASAGRANDE
Departamento :,LA LIBERTAD,Provincia :,ASCOPE,Distrito :,CASAGRANDE
Latitud :,7°45'1.11'',Longitud :,79°11'19.3'',Altitud :,142 msnm.
Tipo :,EMA - Meteorológica,Código :,472D30C8
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/10/01,00:00,16.9,0.0,89,246,0.1
2025/10/01,01:00,16.8,0.0,89,252,0.2
2025/10/01,02:00,16.5,0.0,91,245,0.3
2025/10/01,03:00,16.1,0.0,92,251,0.9
2025/10/01,04:00,15.9,0.0,93,250,0.1
2025/10/01,05:00,15.9,0.0,93,281,0.2
2025/10/01,06:00,15.8,0.0,94,270,0.5
2025/10/01,07:00,15.9,0.0,95,245,0.3
2025/10/01,08:00,17.6,0.0,88,252,0.7
2025/10/01,09:00,20.3,0.0,76,254,2.4
2025/10/01,10:00,21.0,0.0,73,256,2.5
2025/10/01,11:00,22.0,0.0,70,241,1.7
2025/10/01,12:00,23.4,0.0,66,234,2.5
2025/10/01,13:00,23.4,0.0,64,245,3.3
2025/10/01,14:00,23.3,0.0,64,243,2.6
2025/10/01,15:00,22.6,0.0,66,245,2.9
2025/10/01,16:00,19.8,0.0,75,232,2.5
2025/10/01,17:00,19.0,0.0,79,240,2.4
2025/10/01,18:00,18.6,0.0,81,238,1.5
2025/10/01,19:00,16.9,0.0,89,237,1.0
2025/10/01,20:00,16.7,0.0,90,199,0.3
2025/10/01,21:00,16.6,0.0,91,238,0.6
2025/10/01,22:00,16.6,0.0,91,251,0.4
2025/10/01,23:00,16.5,0.0,91,250,0.4
2025/10/02,00:00,16.3,0.0,92,242,0.3
2025/10/02,01:00,16.1,0.0,93,260,0.9
2025/10/02,02:00,16.1,0.2,94,244,0.4
2025/10/02,03:00,15.9,0.0,96,263,0.7
2025/10/02,04:00,15.7,0.0,96,255,0.0
2025/10/02,05:00,15.7,0.0,96,188,0.0
2025/10/02,06:00,15.6,0.0,97,239,0.3
2025/10/02,07:00,15.6,0.0,97,294,0.0
2025/10/02,08:00,16.2,0.0,96,238,0.9
2025/10/02,09:00,17.9,0.0,88,216,0.4
