Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : BUENA VISTA
Departamento :,ANCASH,Provincia :,CASMA,Distrito :,BUENA VISTA ALTA
Latitud :,9°26'1.38'',Longitud :,78°12'29.8'',Altitud :,206 msnm.
Tipo :,EMA - Meteorológica,Código :,109096
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/02/01,00:00,23.9,0.3,79,31,1.2
2026/02/01,01:00,23.4,0.1,84,4,0.2
2026/02/01,02:00,23.6,0.1,84,60,0.5
2026/02/01,03:00,23.4,0.0,80,40,0.0
2026/02/01,04:00,23.1,0.0,92,218,0.0
2026/02/01,05:00,22.8,0.3,88,78,0.0
2026/02/01,06:00,22.4,0.7,95,53,0.2
2026/02/01,07:00,22.4,0.4,93,39,2.7
2026/02/01,08:00,22.3,0.5,91,40,2.5
2026/02/01,09:00,23.7,0.0,80,53,1.3
2026/02/01,10:00,25.9,0.0,62,239,0.8
2026/02/01,11:00,27.2,0.0,60,200,1.7
2026/02/01,12:00,28.3,0.0,51,203,1.8
2026/02/01,13:00,29.0,0.0,54,261,3.1
2026/02/01,14:00,29.2,0.0,49,284,3.4
2026/02/01,15:00,28.3,0.0,56,279,2.6
2026/02/01,16:00,28.1,0.0,53,290,2.7
2026/02/01,17:00,27.6,0.0,56,246,2.2
2026/02/01,18:00,26.7,0.0,60,275,2.0
2026/02/01,19:00,26.7,0.0,60,275,2.0
2026/02/01,20:00,25.1,0.0,64,309,0.2
2026/02/01,21:00,24.9,0.0,64,351,0.0
2026/02/01,22:00,24.9,0.0,66,212,0.0
2026/02/01,23:00,24.6,0.0,71,2,0.1
2026/02/02,00:00,24.5,0.0,66,202,0.0
2026/02/02,01:00,23.7,0.0,71,260,0.0
2026/02/02,02:00,23.5,0.0,71,216,0.0
2026/02/02,03:00,23.3,0.0,75,219,0.0
2026/02/02,04:00,23.0,0.0,72,276,0.0
2026/02/02,05:00,22.9,0.0,72,276,0.0
2026/02/02,06:00,23.1,0.0,72,128,0.0
2026/02/02,07:00,23.4,0.0,69,87,0.0
2026/02/02,08:00,24.4,0.0,67,318,0.0
2026/02/02,09:00,25.9,0.0,56,271,0.7
2026/02/02,10:00,27.3,0.0,53,346,0.8
2026/02/02,11:00,27.7,0.0,50,325,3.0
2026/02/02,12:00,28.9,0.0,44,306,3.0
2026/02/02,13:00,29.7,0.0,51,264,4.0
2026/02/02,14:00,28.3,0.0,54,266,3.6
2026/02/02,15:00,27.4,0.0,58,261,3.3
2026/02/02,16:00,25.6,0.0,64,228,2.3
2026/02/02,17:00,24.7,0.0,65,224,0.0
2026/02/02,18:00,25.3,0.0,66,72,2.9
2026/02/02,19:00,25.3,0.0,66,72,2.9
2026/02/02,20:00,25.6,0.0,66,234,1.0
2026/02/02,21:00,25.1,0.0,67,289,0.6
2026/02/02,22:00,25.1,0.0,67,289,0.6
2026/02/02,23:00,24.2,0.0,69,215,0.5
2026/02/03,00:00,23.8,0.0,70,291,0.0
2026/02/03,01:00,23.5,0.0,70,198,0.4
2026/02/03,02:00,23.4,0.0,68,160,0.0
2026/02/03,03:00,23.3,0.0,69,203,0.6
2026/02/03,04:00,23.2,0.0,71,314,0.0
2026/02/03,05:00,23.1,0.0,70,189,0.0
2026/02/03,06:00,23.2,0.0,71,235,0.0
2026/02/03,07:00,23.2,S/D,68,287,S/D
2026/02/03,08:00,24.1,0.0,65,305,0.0
2026/02/03,09:00,25.3,0.0,62,243,1.0
2026/02/03,10:00,26.6,0.0,59,258,1.8
2026/02/03,11:00,28.8,0.0,50,248,2.7
2026/02/03,12:00,30.3,0.0,47,252,3.7
2026/02/03,13:00,31.2,0.0,44,281,3.8
2026/02/03,14:00,31.7,0.0,42,245,3.1
2026/02/03,15:00,32.1,0.0,41,303,5.0
2026/02/03,16:00,31.9,0.0,41,247,3.6
2026/02/03,17:00,31.2,0.0,45,294,3.6
2026/02/03,18:00,29.4,0.0,48,246,2.4
2026/02/03,19:00,27.8,0.0,49,220,2.7
2026/02/03,20:00,26.4,0.0,51,255,0.5
2026/02/03,21:00,25.5,0.0,52,260,1.8
2026/02/03,22:00,25.1,0.0,54,269,2.1
2026/02/03,23:00,25.4,0.0,52,209,1.1
2026/02/04,00:00,24.3,0.0,60,273,0.5
2026/02/04,01:00,23.7,0.0,60,27,0.4
