Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : BUENA VISTA
Departamento :,ANCASH,Provincia :,CASMA,Distrito :,BUENA VISTA ALTA
Latitud :,9°26'1.38'',Longitud :,78°12'29.8'',Altitud :,206 msnm.
Tipo :,EMA - Meteorológica,Código :,109096
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/06/01,00:00,17.2,0.0,88,315,0.2
2021/06/01,01:00,16.8,0.0,90,290,0.4
2021/06/01,02:00,16.7,0.0,90,355,0.2
2021/06/01,03:00,16.5,0.0,90,353,0.0
2021/06/01,04:00,16.5,0.0,90,340,0.0
2021/06/01,05:00,16.6,0.0,91,303,0.0
2021/06/01,06:00,16.8,0.0,90,241,0.1
2021/06/01,07:00,17.1,0.0,90,232,0.0
2021/06/01,08:00,17.5,0.0,86,335,0.0
2021/06/01,09:00,17.5,0.0,86,335,0.0
2021/06/01,10:00,18.3,0.0,82,222,0.6
2021/06/01,11:00,18.9,0.0,78,274,0.2
2021/06/01,12:00,19.8,0.0,76,235,2.9
2021/06/01,13:00,21.0,0.0,70,239,2.6
2021/06/01,14:00,21.9,0.0,66,266,2.3
2021/06/01,15:00,22.1,0.0,67,250,2.5
2021/06/01,16:00,21.9,0.0,68,276,2.9
2021/06/01,17:00,21.6,0.0,68,266,1.4
2021/06/01,18:00,20.1,0.0,78,226,1.7
2021/06/01,19:00,20.1,0.0,78,226,1.7
2021/06/01,20:00,17.2,0.0,86,276,0.7
2021/06/01,21:00,17.5,0.0,84,249,0.6
2021/06/01,22:00,18.0,0.0,84,251,0.6
2021/06/01,23:00,17.8,0.0,84,266,0.7
2021/06/02,00:00,17.7,0.0,84,279,0.0
2021/06/02,01:00,17.8,0.0,84,244,0.5
2021/06/02,02:00,17.7,0.0,85,259,1.3
2021/06/02,03:00,17.7,0.0,84,235,1.1
2021/06/02,04:00,17.6,0.0,89,279,0.6
2021/06/02,05:00,17.0,0.0,94,237,0.1
2021/06/02,06:00,16.8,0.0,95,219,0.7
2021/06/02,07:00,16.6,0.1,96,221,1.2
2021/06/02,08:00,16.5,0.0,96,276,1.1
2021/06/02,09:00,16.7,0.0,95,296,1.7
2021/06/02,10:00,16.7,0.0,95,296,1.7
2021/06/02,11:00,17.5,0.0,88,309,0.7
2021/06/02,12:00,18.4,0.0,84,272,1.2
2021/06/02,13:00,18.6,0.0,84,337,1.3
2021/06/02,14:00,19.3,0.0,80,292,1.6
2021/06/02,15:00,19.1,0.0,80,317,0.9
2021/06/02,16:00,19.2,0.0,79,276,1.3
2021/06/02,17:00,18.9,0.0,81,236,0.9
2021/06/02,18:00,18.4,0.0,84,227,0.9
2021/06/02,19:00,18.4,0.0,84,227,0.9
2021/06/02,20:00,17.7,0.0,86,278,0.0
2021/06/02,21:00,17.7,0.0,86,242,0.1
2021/06/02,22:00,17.6,0.0,87,255,0.3
2021/06/02,23:00,17.4,0.0,88,187,0.3
2021/06/03,00:00,17.3,0.0,90,296,0.0
2021/06/03,01:00,17.1,0.0,90,313,0.0
2021/06/03,02:00,17.1,0.0,90,10,0.0
2021/06/03,03:00,17.2,0.0,90,253,0.0
2021/06/03,04:00,17.2,0.0,88,216,0.1
2021/06/03,05:00,17.4,0.0,87,246,0.0
2021/06/03,06:00,17.5,0.0,87,351,0.0
2021/06/03,07:00,17.6,0.0,85,337,0.0
2021/06/03,08:00,17.8,0.0,84,316,0.0
2021/06/03,09:00,18.1,0.0,81,332,0.0
2021/06/03,10:00,18.9,0.0,75,239,0.4
