Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CAÑETE
Departamento :,LIMA,Provincia :,CAÑETE,Distrito :,IMPERIAL
Latitud :,13°4'28.82'',Longitud :,76°19'49.46'',Altitud :,116 msnm.
Tipo :,EMA - Meteorológica,Código :,113249
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/01/01,00:00,18.7,0.0,92,262,0.0
2026/01/01,01:00,18.5,0.0,92,125,0.0
2026/01/01,02:00,18.1,0.0,93,225,0.0
2026/01/01,03:00,17.7,0.0,96,231,0.0
2026/01/01,04:00,18.0,0.0,98,193,0.0
2026/01/01,05:00,17.5,0.0,99,85,0.0
2026/01/01,06:00,17.3,0.0,97,153,0.5
2026/01/01,07:00,18.0,0.0,94,258,0.0
2026/01/01,08:00,20.4,0.0,87,319,0.6
2026/01/01,09:00,22.6,0.0,77,275,1.3
2026/01/01,10:00,24.2,0.0,72,276,2.1
2026/01/01,11:00,25.1,0.0,69,280,3.5
2026/01/01,12:00,25.5,0.0,67,273,3.2
2026/01/01,13:00,25.6,0.0,64,281,3.5
2026/01/01,14:00,24.9,0.0,66,282,3.2
2026/01/01,15:00,24.3,0.0,66,282,2.5
2026/01/01,16:00,24.5,0.0,66,279,2.7
2026/01/01,17:00,23.6,0.0,67,280,2.0
2026/01/01,18:00,22.7,0.0,70,298,0.5
2026/01/01,19:00,21.9,0.0,75,285,0.2
2026/01/01,20:00,21.3,0.0,82,247,0.4
2026/01/01,21:00,20.7,0.0,86,287,0.0
2026/01/01,22:00,20.6,0.0,85,283,0.0
2026/01/01,23:00,20.2,0.0,89,233,0.0
2026/01/02,00:00,19.7,0.0,92,309,0.0
2026/01/02,01:00,19.3,0.0,93,184,0.0
2026/01/02,02:00,19.1,0.0,94,312,0.0
2026/01/02,03:00,19.0,0.0,94,246,0.0
2026/01/02,04:00,18.7,0.0,95,220,0.0
2026/01/02,05:00,18.4,0.0,96,266,0.0
2026/01/02,06:00,18.1,0.0,98,227,0.1
2026/01/02,07:00,18.7,0.0,98,8,0.0
2026/01/02,08:00,21.0,0.0,86,236,0.1
2026/01/02,09:00,23.3,0.0,76,285,1.7
2026/01/02,10:00,25.1,0.0,69,280,2.5
2026/01/02,11:00,25.9,0.0,65,274,3.1
2026/01/02,12:00,26.3,0.0,61,284,3.7
2026/01/02,13:00,25.2,0.0,62,276,2.9
2026/01/02,14:00,26.2,0.0,58,281,3.1
2026/01/02,15:00,25.9,0.0,58,286,2.4
2026/01/02,16:00,25.9,0.0,58,292,2.5
2026/01/02,17:00,25.3,0.0,59,276,2.2
2026/01/02,18:00,23.7,0.0,65,286,2.1
2026/01/02,19:00,21.9,0.0,73,282,0.0
2026/01/02,20:00,21.3,0.0,72,68,0.0
2026/01/02,21:00,20.8,0.0,74,236,0.0
2026/01/02,22:00,20.3,0.0,78,58,0.0
2026/01/02,23:00,S/D,S/D,S/D,S/D,S/D
2026/01/03,00:00,19.3,0.0,84,206,0.5
2026/01/03,01:00,18.7,0.0,95,203,0.0
2026/01/03,02:00,18.3,0.0,98,265,0.0
2026/01/03,03:00,18.1,0.0,100,259,0.0
2026/01/03,04:00,18.1,0.0,100,121,0.0
2026/01/03,05:00,17.9,0.0,100,139,0.0
2026/01/03,06:00,17.5,0.0,100,20,0.0
2026/01/03,07:00,18.1,0.0,100,29,0.0
2026/01/03,08:00,20.0,0.0,93,279,0.1
2026/01/03,09:00,22.9,0.0,75,261,1.0
2026/01/03,10:00,25.4,0.0,63,272,1.4
2026/01/03,11:00,26.7,0.0,62,285,2.8
2026/01/03,12:00,25.8,0.0,64,288,2.9
2026/01/03,13:00,25.9,0.0,61,285,2.9
2026/01/03,14:00,26.2,0.0,59,301,3.1
2026/01/03,15:00,26.1,0.0,57,289,3.4
2026/01/03,16:00,24.7,0.0,62,282,2.4
2026/01/03,17:00,24.3,0.0,59,288,1.6
2026/01/03,18:00,24.1,0.0,62,278,1.4
2026/01/03,19:00,22.6,0.0,69,273,0.4
2026/01/03,20:00,21.3,0.0,76,260,0.0
2026/01/03,21:00,21.0,0.0,80,251,0.0
2026/01/03,22:00,20.9,0.0,82,257,0.4
2026/01/03,23:00,20.8,0.0,83,358,0.0
2026/01/04,00:00,20.8,0.0,83,45,0.0
2026/01/04,01:00,20.7,0.0,86,254,0.2
2026/01/04,02:00,20.1,0.0,91,287,0.0
2026/01/04,03:00,19.9,0.0,95,242,0.0
2026/01/04,04:00,19.7,0.0,96,209,0.0
2026/01/04,05:00,19.4,0.0,97,249,0.0
2026/01/04,06:00,18.9,0.0,98,321,0.0
2026/01/04,07:00,19.2,0.0,97,239,0.0
2026/01/04,08:00,20.1,0.0,93,29,0.2
2026/01/04,09:00,23.1,0.0,77,263,0.2
2026/01/04,10:00,26.1,0.0,65,291,2.9
2026/01/04,11:00,26.6,0.0,64,288,3.4
2026/01/04,12:00,26.0,0.0,65,284,3.4
2026/01/04,13:00,25.8,0.0,64,287,3.1
2026/01/04,14:00,26.6,0.0,57,277,3.7
2026/01/04,15:00,26.7,0.0,56,287,3.2
2026/01/04,16:00,25.6,0.0,61,272,2.9
2026/01/04,17:00,24.9,0.0,60,285,1.9
2026/01/04,18:00,24.9,0.0,57,302,1.0
2026/01/04,19:00,23.9,0.0,53,289,0.0
2026/01/04,21:00,20.5,0.0,90,256,0.0
2026/01/04,22:00,20.3,0.0,90,217,0.0
2026/01/04,23:00,20.5,0.0,89,282,0.0
2026/01/05,00:00,20.6,0.0,88,275,0.0
2026/01/05,01:00,20.3,0.0,92,268,0.0
2026/01/05,02:00,20.0,0.0,96,250,0.0
2026/01/05,03:00,19.8,0.0,97,299,0.0
2026/01/05,04:00,19.8,0.0,97,252,0.0
2026/01/05,05:00,19.9,0.0,96,281,0.0
2026/01/05,06:00,20.0,0.0,96,58,0.0
2026/01/05,07:00,20.6,0.0,94,274,0.0
2026/01/05,08:00,21.3,0.0,91,332,0.0
2026/01/05,09:00,21.8,0.1,90,290,0.0
2026/01/05,10:00,22.5,0.0,86,250,2.4
2026/01/05,11:00,22.6,0.0,86,288,1.6
2026/01/05,12:00,22.6,0.0,84,303,0.8
2026/01/05,13:00,23.3,0.0,80,283,1.2
2026/01/05,14:00,23.7,0.0,78,272,1.3
2026/01/05,15:00,24.5,0.0,74,274,1.5
2026/01/05,16:00,24.3,0.0,74,287,2.7
2026/01/05,17:00,23.3,0.0,76,275,2.1
2026/01/05,18:00,22.4,0.0,79,271,2.2
2026/01/05,19:00,21.2,0.0,83,268,0.0
2026/01/05,20:00,20.8,0.0,83,189,0.0
2026/01/05,21:00,20.8,0.0,82,204,0.0
2026/01/05,22:00,20.5,0.0,85,54,0.0
2026/01/05,23:00,20.8,0.0,82,170,0.0
2026/01/06,00:00,20.2,0.0,82,349,0.0
2026/01/06,01:00,20.0,0.0,86,108,0.0
2026/01/06,02:00,19.9,0.0,84,140,0.0
2026/01/06,03:00,19.6,0.0,83,337,0.0
2026/01/06,04:00,18.8,0.0,88,297,0.0
2026/01/06,05:00,18.8,0.0,95,23,0.0
2026/01/06,06:00,19.3,0.0,97,318,0.0
2026/01/06,07:00,19.5,0.0,95,308,0.0
2026/01/06,08:00,20.0,0.0,93,252,0.0
2026/01/06,09:00,21.6,0.0,83,87,0.2
2026/01/06,10:00,23.9,0.0,72,339,1.2
2026/01/06,11:00,26.1,0.0,63,290,3.2
2026/01/06,12:00,26.2,0.0,60,273,4.2
2026/01/06,13:00,25.2,0.0,66,277,4.0
2026/01/06,14:00,25.2,0.0,66,286,2.9
2026/01/06,15:00,23.8,0.0,70,277,2.9
2026/01/06,16:00,23.9,0.0,68,282,1.9
2026/01/06,17:00,24.0,0.0,67,283,2.7
2026/01/06,18:00,23.0,0.0,76,285,1.6
2026/01/06,19:00,21.5,0.0,84,270,0.4
2026/01/06,20:00,20.5,0.0,90,277,0.0
2026/01/06,21:00,20.3,0.0,92,255,0.2
2026/01/06,22:00,20.2,0.0,93,267,0.0
2026/01/06,23:00,20.1,0.0,95,277,0.0
2026/01/07,00:00,19.8,0.0,97,282,0.0
2026/01/07,01:00,19.8,0.0,97,297,0.0
2026/01/07,02:00,19.7,0.0,97,136,0.0
2026/01/07,03:00,19.7,0.0,96,273,0.0
2026/01/07,04:00,19.7,0.0,96,280,0.0
2026/01/07,05:00,19.2,0.0,98,236,0.0
2026/01/07,06:00,19.1,0.0,99,26,0.0
2026/01/07,07:00,19.2,0.0,99,298,0.0
2026/01/07,08:00,19.8,0.0,95,293,0.9
2026/01/07,09:00,20.8,0.0,89,278,1.0
2026/01/07,10:00,22.6,0.0,80,276,1.7
2026/01/07,11:00,24.3,0.0,73,283,3.4
2026/01/07,12:00,24.5,0.0,71,272,2.3
2026/01/07,13:00,25.3,0.0,66,297,3.2
2026/01/07,14:00,25.7,0.0,63,291,3.1
2026/01/07,15:00,25.7,0.0,61,288,3.0
2026/01/07,16:00,25.3,0.0,63,298,2.2
