Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : FONAGRO
Departamento :,ICA,Provincia :,CHINCHA,Distrito :,ALTO LARAN
Latitud :,13°27'34'',Longitud :,76°9'6'',Altitud :,47 msnm.
Tipo :,EAMA - Meteorológica,Código :,4728B11C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/04/01,00:00,23.4,0.0,90,178,0.7
2023/04/01,01:00,23.8,0.0,89,200,0.7
2023/04/01,02:00,23.7,0.0,89,294,0.6
2023/04/01,03:00,23.4,0.0,92,314,0.6
2023/04/01,04:00,23.3,0.0,92,200,0.7
2023/04/01,05:00,22.8,0.0,93,193,1.3
2023/04/01,06:00,22.6,0.0,93,185,0.5
2023/04/01,07:00,22.9,0.0,92,70,0.1
2023/04/01,08:00,24.3,0.0,87,275,0.9
2023/04/01,09:00,25.4,0.0,82,275,1.8
2023/04/01,10:00,26.8,0.0,78,263,1.8
2023/04/01,11:00,27.7,0.0,75,267,2.2
2023/04/01,12:00,28.1,0.0,74,266,3.1
2023/04/01,13:00,27.9,0.0,74,258,3.5
2023/04/01,14:00,27.9,0.0,73,257,2.5
2023/04/01,15:00,28.7,0.0,70,264,2.3
2023/04/01,16:00,28.2,0.0,70,236,2.7
2023/04/01,17:00,28.2,0.0,69,246,1.8
2023/04/01,18:00,27.1,0.0,75,233,2.0
2023/04/01,19:00,24.9,0.0,84,225,2.2
2023/04/01,20:00,24.4,0.0,86,319,0.9
2023/04/01,21:00,24.5,0.0,85,322,1.5
2023/04/01,22:00,24.2,0.0,87,313,1.7
2023/04/01,23:00,23.7,0.0,91,320,1.6
2023/04/02,00:00,23.3,0.0,93,301,1.4
2023/04/02,01:00,23.0,0.0,93,296,1.1
2023/04/02,02:00,22.6,0.0,94,227,0.9
2023/04/02,03:00,22.4,0.0,93,117,0.2
2023/04/02,04:00,22.4,0.0,94,215,1.3
2023/04/02,05:00,22.2,0.0,95,163,0.4
2023/04/02,06:00,22.3,0.0,94,211,0.8
2023/04/02,07:00,22.5,0.0,92,218,0.7
2023/04/02,08:00,23.5,0.0,88,253,1.1
2023/04/02,09:00,24.2,0.0,85,267,1.2
2023/04/02,10:00,25.2,0.0,81,263,1.5
2023/04/02,11:00,26.6,0.0,75,234,1.4
2023/04/02,12:00,27.5,0.0,71,265,2.0
2023/04/02,13:00,27.4,0.0,71,272,2.7
2023/04/02,14:00,28.5,0.0,68,237,2.8
2023/04/02,15:00,28.1,0.0,69,238,3.4
2023/04/02,16:00,28.1,0.0,69,228,2.4
2023/04/02,17:00,27.9,0.0,69,229,2.3
2023/04/02,18:00,26.4,0.0,77,239,1.8
2023/04/02,19:00,24.7,0.0,84,223,1.7
2023/04/02,20:00,24.1,0.0,87,219,1.4
2023/04/02,21:00,23.9,0.0,88,270,0.6
2023/04/02,22:00,23.8,0.0,89,316,1.1
2023/04/02,23:00,23.6,0.0,90,268,1.9
2023/04/03,00:00,22.8,0.0,93,217,1.4
2023/04/03,01:00,22.8,0.0,93,63,0.3
2023/04/03,02:00,22.7,0.0,93,115,0.5
2023/04/03,03:00,22.3,0.0,94,255,1.2
2023/04/03,04:00,22.1,0.0,95,279,0.5
2023/04/03,05:00,22.1,0.0,95,61,0.6
2023/04/03,06:00,22.3,0.0,94,41,0.3
2023/04/03,07:00,22.6,0.0,93,67,0.6
2023/04/03,08:00,24.3,0.0,86,18,0.2
2023/04/03,09:00,26.2,0.0,77,317,0.3
2023/04/03,10:00,27.9,0.0,70,238,1.2
2023/04/03,11:00,28.8,0.0,67,258,2.3
2023/04/03,12:00,28.9,0.0,66,247,2.7
