Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : PUERTO PIZARRO
Departamento :,TUMBES,Provincia :,TUMBES,Distrito :,TUMBES
Latitud :,3°30'14.24'',Longitud :,80°23'43.38'',Altitud :,6 msnm.
Tipo :,EMA - Meteorológica,Código :,103068
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/10/30,11:00,28.6,6.0,65,S/D,S/D
2025/10/30,12:00,27.8,21.0,66,S/D,S/D
2025/10/30,13:00,28.4,0.0,64,S/D,S/D
2025/10/30,14:00,28.7,25.0,63,S/D,S/D
2025/10/30,15:00,28.2,0.0,63,S/D,S/D
2025/10/30,16:00,26.4,0.0,68,S/D,S/D
2025/10/30,17:00,25.1,0.0,73,S/D,S/D
2025/10/30,18:00,23.9,0.0,77,S/D,S/D
2025/10/30,19:00,23.1,0.0,81,S/D,S/D
2025/10/30,20:00,22.8,0.0,83,S/D,S/D
2025/10/30,21:00,22.8,0.0,84,S/D,S/D
2025/10/30,22:00,22.6,0.0,83,S/D,S/D
2025/10/30,23:00,22.2,0.0,83,S/D,S/D
2025/10/31,00:00,22.1,0.0,86,S/D,S/D
2025/10/31,01:00,22.2,0.0,86,S/D,S/D
2025/10/31,02:00,21.6,0.0,90,S/D,S/D
2025/10/31,03:00,21.1,0.0,93,S/D,S/D
2025/10/31,04:00,21.0,0.0,94,S/D,S/D
2025/10/31,05:00,21.3,0.0,91,S/D,S/D
2025/10/31,06:00,20.7,0.0,91,S/D,S/D
2025/10/31,07:00,21.3,0.0,88,S/D,S/D
2025/10/31,08:00,22.5,0.0,82,S/D,S/D
2025/10/31,09:00,24.1,0.0,76,S/D,S/D
2025/10/31,10:00,25.6,0.0,73,S/D,S/D
2025/10/31,11:00,27.5,0.0,66,S/D,S/D
2025/10/31,12:00,29.2,0.0,61,S/D,S/D
2025/10/31,13:00,29.9,0.0,59,S/D,S/D
2025/10/31,14:00,30.0,0.0,58,S/D,S/D
2025/10/31,15:00,29.5,0.0,59,S/D,S/D
2025/10/31,16:00,27.9,0.0,62,S/D,S/D
2025/10/31,17:00,26.0,0.0,70,S/D,S/D
2025/10/31,18:00,24.6,0.0,75,S/D,S/D
2025/10/31,19:00,23.9,0.0,78,S/D,S/D
2025/10/31,20:00,23.6,0.0,80,S/D,S/D
2025/10/31,21:00,23.3,0.0,83,S/D,S/D
2025/10/31,22:00,23.1,0.0,84,S/D,S/D
2025/10/31,23:00,23.0,0.0,85,S/D,S/D
